word_fr,word_en,description_fr,description_en
Beau,Babyface (face),Un lutteur qui est héroïque et suit les règles. Habituellement acclamé par les fans,A wrestler who is heroic and follows the rules. Fans usually cheer him on.
Booking,Booking,Détermination du déroulement d'un match ainsi que les évènements à suivre. Similaire au scénario dans le cinéma,"Determination of the way the match progresses, as well as the events to follow. Similar to a script in cinema."
Botch,Botch,Prise ou booking mal éxécutés,Poorly executed booking or hold.
Bump,Bump,Chute sur le sol ou le ring. C'est la première chose qu'un catcheur doit maîtriser,A fall on the ground or in the ring. It is the first thing that a wrestler has to master.
Rivalité,Feud,"Rivalité entre des catcheurs, généralement déployée sur plusieurs matches","Rivalry between wrestlers, usually spread out over several matches. "
Gimmick,Gimmick,Rôle incarné par un catcheur sur le ring,Role embodied by a wrestler in the ring.
Heat,Heat,"Huées du public à destination d'un catcheur. Plus un heel en reçoit, meilleur il est","Shouts from the crowd for a wrestler. The more a heel recieves, the better he is. "
Antagoniste,Heel (rudo),"Catcheur au gimmick violent ou tricheur. Adversaire du babyface, son but est d'être hué par le public.","A  wrestler with a violent or cheating gimmick. The babyface's adversary, their goal is to be booed by the public."
Job,Job,"Travail ingrat mais essentiel dans le catch qui consiste à perdre face à un autre catcheur, afin de mettre ce dernier en valeur.","Unrewarding but essential work in wrestling which consisters of losing to another wrestler, in order to highlight the other's talent."
Vinak,Kayfabe,"Illusion maintenue autour du catch afin qu'il soit perçu comme réel. Le terme provient du ""carny"", argot utilisé par les forains, en inversant ""fake"" (""kay-fay""=>kayfabe) ","The illusion maintained around wrestling to make everything seem real. The term comes from ""carny"", slang used by fairground people, by  inversing the word ""fake"" (""kay-fay""=>kayfabe) "
Mark,Mark,"Personne qui croit, ou se laisse croire, que le catch est réel. Le terme était utilisé dans le milieu forain pour désigner les personnes crédules, qui étaient ""marquées"" (avec un signe à la craie par exemple) à leur insu.","A person who believes, or lets himself believe, that wrestling is real. The term was used in the fairground to designate gullible people, who were ""marked"" (with a chalk sign for example) without them knowing."
Pop,Pop,"Réaction positive de la foule, généralement après une prise spectaculaire ou la victoire d'un catcheur adulé. Plus en babyface en reçoit, meilleur il est.","Positive reaction from the crowd, usually after a spectacular hold or the victory of a beloved wrestler. The more a babyface receives, the better he is."
Push,Push,"Mise en avant d'un catcheur, suite à une décision des bookers ou une popularité grandissante auprès du public.","Putting a wrestler forward, following a decision by the bookers or a growing popularity with the public."
Screwjob,Screwjob,"Résultat final d'un match jugé injuste par le public. Il peut être scripté ou non, comme dans le cas du Montreal Screwjob, entre Shawn Michaels et Bret Hart, où ce dernier perd la ceinture sans avoir été prévenu.","The final result of a match deemed unfair by the public. It can be scripted or not, as in the case of the Montreal Screwjob, between Shawn Michaels and Bret Hart, where the latter lost the belt without being warned."
Shoot,Shoot,Action consistant à briser le kayfabe (ex : appeler un catcheur par son vrai nom). Il peut être scripté ou non.,Action which breaks the kayfabe (ex: calling a wrestler by their real name). It can be scripted or not.
Smart,Smart,Désigne un amateur de catch connaissant les coulisses du catch ou cherchant à en savoir plus,Designates a wrestling enthusiast who knows the behind the scenes of wrestling or is looking to learn more.
Spot,Spot,"Action ou série d'actions constituant des moments forts d'un match. Créé généralement une forte réaction du public. Une trop grande succession de spots peut cependant nuire à la psychologie du match et saturer le public. Les catcheurs sont alors désignés péjorativement comme des ""spot monkeys""","Action or series of actions constituting highlights of a match. Generally generates a strong public reaction. However, too many spots can damage the psychology of the match and saturate the public. Wrestlers are then pejoratively described as ""spot monkeys""."
Squash,Squash,Victoire expéditive d'un catcheur. Le squash est souvent utilisé pour mettre en valeur un monster heel,A wrestler's expeditive victory. The squash is often used to put a monster heel in the spotlight.
Stiff,Stiff,Exécution de prises avec une force excessive. Cela permet de rajouter de l'intensité au match mais avec le risque de blesser son adversaire. ,Execution of holds with excessive force. This allows the wrestler to intensify the match but with the risk of injuring their opponent.
Turn,Turn,"Changement d'alignement d'un catcheur, passant de heel à face, ou inversement. Le turn provoque généralement une vive réaction du public.","When a wrestler changes their alignment, going from heel to face, or vice versa. The turn generally provokes a strong public reaction."
Antihéros,Tweener,Catcheur impossible à classer clairement comme face ou heel. Son gimmick est souvent celui d'un rebelle ou d'un anti-héros qui s'oppose à l'autorité. Il peut donc briser les règles tout en étant soutenu par le public.,A wrestler that cannot be easily classified as a face or a heel. His gimmick is often that of a rebel or an antihero who opposes authority. He can therefore break the rules while still being supported by the public.
